LEHIGH AI TOOL ADVISOR - PROVISIONING REVIEW,,,,,,,,
"Edit the five role columns, then send this file back.",,,,,,,,
,,,,,,,,
CODE,MEANING,,,,,,,
A,"Automatic - provisioned to this role today, no request needed",,,,,,,
R,By request - this role may obtain it (purchase and/or grant),,,,,,,
N,Not available - this role cannot obtain it at all,,,,,,,
,,,,,,,,
"Data ceiling is the highest class permitted, per the ITS classification table.",,,,,,,,
Change it in the notes column if wrong. Gating by data class applies on top of the codes above.,,,,,,,,
,,,,,,,,
Tool,Vendor,Data ceiling,Undergrad,Grad,Faculty,Staff,Researcher,Your corrections / notes
Google Gemini,Workspace Education Plus,All classes (Class I needs InfoSec review),A,A,A,A,A,
Google Gemini AI Pro for Education,"Google, paid Pro add-on",All classes (Class I needs InfoSec review),N,R,R,R,R,
Gemini Notebook,"Google, Workspace Education Plus",All classes (Class I needs InfoSec review),A,A,A,A,A,
Claude,Anthropic Enterprise,Class III + IV,N,R,R,R,N,
Microsoft Copilot,Microsoft 365 (A3),Class IV only,N,R,R,R,R,
GitHub Copilot,GitHub Education,Class IV only,A,A,A,N,A,
Zoom AI Companion,"Zoom, Lehigh tenant",Class II + III + IV,A,A,A,A,A,
OpenAI ChatGPT,"OpenAI, via Lehigh grant funding",Class IV only,N,R,R,R,R,
Keenious,"Keenious, research discovery",Class IV only,A,A,A,N,A,
Adobe Firefly,Adobe Creative Cloud,Class IV only,N,R,R,R,R,
